Year,State,Acute Diarrhoeal Diseases - Cases,Acute Diarrhoeal Diseases - Deaths,Diarrhoeal,Malaria – Cases,Malaria - Deaths,Malaria,Acute Respiaratory Infection - Cases,Acute Respiaratory Infection - Deaths,Respiaratory,Japanese Encephalitis - Cases,Japanese Encephalitis - Deaths,Japanese Encephalitis,Viral Hepatitis - Cases,Viral Hepatitis - Deaths,Viral Hepatitis,No of Registered Nurses,No of Govt Hospitals,No of Beds
2010(P),Sikkim,47320,2,0.004226543,47,68,144.6808511,92887,7,0.007536038,369,114,30.89430894,798,2,0.250626566,,1,10
2010(P),Tamil Nadu,428247,47,0.010974975,14102,1,0.007091193,2287402,234,0.010229946,466,7,1.502145923,5143,3,0.058331713,54395,8,680
2010(P),Tripura,75964,33,0.04344163,22926,8,0.034894879,105282,129,0.122528067,369,114,30.89430894,450,4,0.888888889,1036,1,10
2010(P),Uttar Pradesh,385412,132,0.034249063,59114,68,0.115031972,817467,141,0.017248403,3540,494,13.95480226,1977,9,0.455235205,28888,1774,10300
2010(P),Uttarakhand,100065,42,0.041972718,1599,68,4.252657911,132998,92,0.069173973,7,0,0,6645,12,0.180586907,1111,7,319
2010(P),West Bengal,1832605,368,0.020080705,108180,38,0.035126641,1828754,411,0.022474319,1,0,0,4440,65,1.463963964,56782,4,409
2010(P),A & N Islands,24355,8,0.032847465,2377,68,2.860748843,53187,217,0.407994435,369,114,30.89430894,228,4,1.754385965,NA,1,15
2010(P),Chandigarh,306450,92,0.030021211,347,68,19.59654179,14541306,217,0.001492301,369,114,30.89430894,5009,33,0.658814135,NA,1,103
2010(P),D & N Haveli,69265,1,0.001443731,5339,68,1.27364675,112471,218,0.193827742,369,114,30.89430894,314,2,0.636942675,NA,,
2010(P),Daman & Diu,8169,92,1.126208838,194,68,35.05154639,48839,218,0.446364586,369,114,30.89430894,103,33,32.03883495,NA,,
2010(P),Lakshadweep,6742,92,1.364580243,6,68,1133.333333,17263,218,1.262816428,369,114,30.89430894,20,33,165,NA,,
2010(P),Puducherry,82659,5,0.006048948,154,68,44.15584416,628586,218,0.034681014,369,114,30.89430894,650,2,0.307692308,NA,1,10
